name,color
detritivore,#DF7C00
primary producer,#DF7C00
herbivore,#DF7C00
omnivore,#DF7C00
predator,#DF7C00
several,#DF7C00
parasite,#BFAE40
detritivore,#BFAE40
primary producer,#BFAE40
herbivore,#BFAE40
omnivore,#BFAE40
predator,#BFAE40
detritivore,#083E77
primary producer,#083E77
herbivore,#083E77
omnivore,#083E77
predator,#083E77
several,#083E77
